Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Art and design,2,42,0,40,218,128,430
Biology,2,53,1,43,420,275,794
Business studies,1,10,0,9,203,128,351
Chemistry,7,52,1,39,336,219,654
Classics,0,2,0,6,28,8,44
Computing,1,19,0,18,188,138,364
Design and technology,2,37,0,16,117,83,255
Drama,0,33,0,22,77,66,198
English,7,167,2,90,821,605,1692
Geography,2,75,0,46,268,203,594
History,7,113,1,78,429,290,918
Mathematics,4,135,1,103,923,711,1877
Modern foreign languages,1,82,2,34,404,237,760
Music,2,27,1,12,119,50,211
Other,0,43,0,24,245,220,532
Physical education,7,406,0,189,807,1020,2429
Physics,2,21,0,25,299,169,516
Religious education,0,24,1,16,120,101,262
Subject not recognised,0,4,0,5,13,14,36
