Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Art and design,5,104,0,29,167,301,606
Biology,4,133,1,72,321,606,1137
Business studies,1,39,0,26,144,277,487
Chemistry,9,122,1,40,325,484,981
Classics,0,8,0,11,23,25,67
Computing,1,48,0,17,176,312,554
Design and technology,2,81,1,17,119,184,404
Drama,0,60,0,18,80,152,310
English,12,383,2,139,683,1256,2475
Geography,6,160,0,52,226,420,864
History,16,240,1,90,309,632,1288
Mathematics,7,320,1,120,758,1524,2730
Modern foreign languages,1,172,3,70,369,523,1138
Music,4,55,1,12,96,132,300
Other,0,104,0,20,212,422,758
Physical education,15,698,0,137,490,1746,3086
Physics,2,76,0,42,293,449,862
Religious education,0,62,2,16,87,209,376
