Age group,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
21 and under,3,1991,3,257,573,235,3062
22,36,1103,2,205,531,187,2064
23,51,769,1,132,391,190,1534
24,38,509,8,92,304,145,1096
25 to 29,91,1222,8,186,989,590,3086
30 to 34,37,601,2,74,817,480,2011
35 to 39,31,480,2,70,625,451,1659
40 to 44,19,369,4,45,416,300,1153
45 to 49,13,229,2,25,240,186,695
50 to 54,5,117,1,12,169,101,405
55 to 59,2,44,0,6,65,58,175
60 to 64,1,11,0,1,24,20,57
65 and over,0,5,0,0,4,6,15
