Area,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Channel Islands,0,11,0,0,3,1,15
East Midlands,40,1118,17,62,292,350,1879
East of England,62,1277,20,54,416,404,2233
Isle of Man,1,4,0,0,2,1,8
London,107,1732,20,224,1027,950,4060
No region,0,0,0,0,0,0,0
North East,25,598,2,39,148,209,1021
North West,81,1758,21,102,458,588,3008
Northern Ireland,32,353,5,25,37,81,533
Scotland,2,42,0,4,32,25,105
South East,118,1701,16,114,591,596,3136
South West,106,1154,3,72,339,338,2012
Wales,19,214,1,19,73,92,418
West Midlands,92,1420,10,94,478,401,2495
Yorkshire and the Humber,12,1396,20,63,381,440,2312
European Economic Area,12,219,6,36,73,86,432
Rest of the World,73,674,5,97,1881,2383,5113
